batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,231617.422029,239041.000000,386150.000000,486806.000000,14.786806,329118,25461324617,0.679495
2,791248.657975,317877.000000,4183820.000000,8785840.000000,27.844839,329002,46432793726,0.679608
4,435324.068965,398759.000000,765933.000000,1287574.000000,7.686971,329212,13152201760,0.679403
8,2330983.508494,591342.000000,9235002.000000,11803533.000000,20.003209,329022,36655264202,0.679588
16,1025060.913295,822798.000000,2207397.000000,2408203.000000,4.428965,328976,7602081580,0.679633
32,1167782.429329,1141833.000000,1520501.000000,1878695.000000,2.540773,328618,3870547471,0.679982
64,1914048.809768,1789579.000000,2765853.000000,3622393.000000,2.091408,328571,3052856233,0.680028
128,3037781.437594,2977233.000000,3746345.000000,4957500.000000,1.639627,327401,2171469564,0.681167
256,5733362.951608,5787490.000000,6505783.000000,7547316.000000,1.533641,325625,1890662904,0.682897
512,11265908.727459,11418001.000000,13231634.000000,16298402.000000,1.584953,322498,1653070068,0.685942
1024,23233029.733170,22904428.000000,30186946.000000,35824288.000000,1.730141,318004,1833899052,0.690318
2048,43731636.118033,44163694.000000,54167283.000000,63901684.000000,1.591683,299822,1948748682,0.708024
4096,67947677.855958,65460564.000000,103878720.000000,107405019.000000,1.539591,283526,1627450455,0.723894
1,499572.815491,293897.000000,1639834.000000,5851848.000000,32.184062,329402,52407195092,0.679218
2,831472.057125,373655.000000,4108789.000000,8549756.000000,28.719290,329132,48494934201,0.679481
4,458019.769727,425680.000000,754611.000000,1166656.000000,8.249332,329268,13856066962,0.679349
8,2133924.534329,597272.000000,9069885.000000,11776143.000000,18.194531,329017,33077230304,0.679593
16,1610032.209145,1010342.000000,5956229.000000,10567419.000000,6.662737,329277,11575754806,0.679340
32,1243809.286547,1192563.000000,1751359.000000,2472380.000000,2.737022,328769,4300797244,0.679835
64,1797582.085913,1752460.000000,2316239.000000,2983251.000000,1.918809,328082,2758994865,0.680504
128,3282891.662565,3299747.000000,3897830.000000,4539841.000000,1.748828,327211,2242751492,0.681352
256,6311724.695988,6297762.000000,7011577.000000,7629163.000000,1.662486,325778,1852695534,0.682748
512,12525568.494545,12537943.000000,13864829.000000,14888752.000000,1.726095,322921,1608755439,0.685530
1024,23383219.869534,23515778.000000,32994423.000000,43400893.000000,1.803861,318546,2297690427,0.689790
2048,56089116.014114,56307085.000000,67257823.000000,80685488.000000,1.975605,298848,2147837722,0.708973
4096,70823333.736337,68402786.000000,108060063.000000,117966826.000000,1.495156,279757,1540616567,0.727564
1,440409.126092,258425.000000,1452853.000000,5846448.000000,27.690177,329088,47168061160,0.679524
2,779880.726293,314466.000000,4090451.000000,7493758.000000,27.148267,329140,46445001486,0.679474
4,396886.941506,394661.000000,598698.000000,714016.000000,6.859643,329183,11846068388,0.679432
8,866833.333467,568664.000000,2832665.000000,7401512.000000,7.685021,329065,13439384252,0.679547
16,4151963.515266,2220175.000000,11039240.000000,12084463.000000,16.909064,328977,31880222024,0.679632
32,1315068.578859,1287874.000000,1757738.000000,2242173.000000,2.939023,328740,4401105063,0.679863
64,1988961.934739,1873684.000000,2848667.000000,3811844.000000,2.207403,328340,3179077740,0.680253
128,3025219.185751,3032244.000000,3965010.000000,4365791.000000,1.728739,327599,2298880656,0.680974
256,5704171.746281,5756869.000000,6905228.000000,7398053.000000,1.546732,325660,1845200138,0.682862
512,10649082.035153,10774892.000000,11936072.000000,14902590.000000,1.485311,322386,1665280834,0.686051
1024,18210207.727406,17243386.000000,28399052.000000,31271461.000000,1.538747,320611,1503269304,0.687779
2048,33913818.567881,31254990.000000,53950838.000000,62254829.000000,1.527867,309803,1393377111,0.698304
4096,65256098.535056,64747199.000000,95490561.000000,104322404.000000,1.449529,281939,1365603539,0.725439
