wait_us,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,2460474.461252,920624.000000,8970542.000000,11803318.000000,23.035189,229221,21037032198,0.778973
10,2207656.476439,825144.000000,8776212.000000,11656804.000000,21.347228,229293,19599312737,0.778904
50,2422736.279884,851309.000000,8956817.000000,11712639.000000,23.054709,229239,20659708074,0.778956
100,2372262.549190,769735.000000,8989410.000000,11841042.000000,22.360555,229238,20769768645,0.778957
1000,596701.339166,617419.000000,913992.000000,1132077.000000,6.543977,229327,4948186771,0.778871
10000,581365.234326,597172.000000,877476.000000,1033462.000000,6.310032,229349,4900815476,0.778850
1,626992.660070,613758.000000,934457.000000,2365350.000000,6.508908,229333,5245726255,0.778865
10,655281.330901,608434.000000,1059098.000000,2445419.000000,6.979265,229362,5575049727,0.778837
50,622595.128419,609621.000000,937046.000000,2394976.000000,6.684283,229340,5318326827,0.778859
100,2374158.422730,843463.000000,8837241.000000,11710929.000000,22.645314,229240,20520956903,0.778955
1000,591543.487557,615601.000000,888232.000000,1046435.000000,6.410542,229319,4892918119,0.778879
10000,591414.157851,608533.000000,893133.000000,1080969.000000,6.441592,229351,4976529534,0.778848
1,585390.350269,598567.000000,876975.000000,1024744.000000,6.317550,229328,4974154473,0.778870
10,4010834.665709,3124909.000000,10166001.000000,12043633.000000,37.656984,229201,35370528169,0.778993
50,2295070.460668,751360.000000,8891132.000000,11747857.000000,21.760601,229224,19838215838,0.778970
100,589130.369201,603763.000000,891780.000000,1092492.000000,6.372159,229321,4992019519,0.778877
1000,624219.490465,610509.000000,949489.000000,2341028.000000,6.724826,229344,5230745308,0.778855
10000,2345238.457646,796365.000000,8841609.000000,11590986.000000,22.298366,229248,20415863187,0.778947
1,598450.315227,610364.000000,907308.000000,1116097.000000,6.452607,229319,5064608512,0.778879
10,597449.143212,612219.000000,902783.000000,1082786.000000,6.453998,229362,5103584141,0.778837
50,629325.306172,613723.000000,949945.000000,2329115.000000,6.748845,229336,5353039538,0.778862
100,701410.233610,625112.000000,2195783.000000,2525802.000000,7.370399,229334,5982174321,0.778864
1000,595545.275355,612020.000000,890833.000000,1067981.000000,6.490188,229352,4995100209,0.778847
10000,598885.341279,616018.000000,902622.000000,1082143.000000,6.488144,229348,5042291326,0.778851
1,2180551.441932,761714.000000,8619400.000000,11556046.000000,21.165621,229302,19445585078,0.778895
10,689541.371795,621450.000000,956779.000000,4643636.000000,7.167254,229293,5719738458,0.778904
50,2184927.771171,722529.000000,8819310.000000,11443359.000000,20.269350,229210,18587521264,0.778984
100,3851582.918416,2964515.000000,10148358.000000,11943411.000000,35.809402,229177,33452809015,0.779016
1000,2502373.845756,977240.000000,8958283.000000,11633328.000000,23.377259,229198,20912228510,0.778996
10000,643915.546488,621196.000000,1003275.000000,2388584.000000,6.795693,229277,5220919093,0.778919
