epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4521440037.000000,4.521440,390626,1.939581
16,1,4440109849.000000,4.440110,390626,1.949971
16,1,4254695997.000000,4.254696,390626,1.855340
16,1,4142566651.000000,4.142567,390626,1.821973
16,1,4188375084.000000,4.188375,390626,1.823738
16,1,4166391177.000000,4.166391,390626,1.822308
16,1,4236313955.000000,4.236314,390626,1.834235
16,1,4139959319.000000,4.139959,390626,1.814759
16,1,4188901499.000000,4.188901,390626,1.830121
16,1,4138507338.000000,4.138507,390626,1.817407
