threads,avg_latency_ns,avg_walltime_s,height,avg_IOs
1,178051.37,178.051370,0,5616.41
2,96944.75,96.944749,0,10315.30
4,59188.10,59.188099,0,16895.60
8,41706.99,41.706985,0,23976.82
16,40131.40,40.131404,0,24918.14
32,40138.11,40.138110,0,24914.03
64,40061.42,40.061416,0,24961.69
128,40040.16,40.040159,0,24974.93
256,40034.50,40.034505,0,24978.45
512,39962.70,39.962702,0,25023.33
1024,40100.53,40.100531,0,24937.37
2048,40033.50,40.033501,0,24979.08
4096,40028.82,40.028818,0,24982.00
8192,40035.16,40.035156,0,24978.05
16384,40054.10,40.054101,0,24966.23
