policy,workload,cache_MiB,cache_pages,ops,hit_ratio,avg_latency_ns,avg_miss_io_ns,hits,misses,evictions,io_bytes,io_physical_ios
FIFO,simple,0.1,24,1000000,0.981517,1533.5,75249.4,1037271,19533,19509,80007168,19533
LRU,simple,0.1,24,1000000,0.981517,1327.38,61856.2,1037271,19533,19509,80007168,19533
LFU,simple,0.1,24,1000000,0.916752,4592.23,50528.4,968827,87977,87953,360353792,87977
FIFO,simple,1,244,1000000,0.981517,1289.15,62516.5,1037271,19533,19289,80007168,19533
LRU,simple,1,244,1000000,0.981517,1329.06,62219.8,1037271,19533,19289,80007168,19533
LFU,simple,1,244,1000000,0.919398,4423.89,49874.6,971623,85181,84937,348901376,85181
FIFO,simple,32,7812,1000000,0.981517,1264.14,60694.1,1037271,19533,11721,80007168,19533
LRU,simple,32,7812,1000000,0.981517,1312.14,60681.5,1037271,19533,11721,80007168,19533
LFU,simple,32,7812,1000000,0.960862,2369.81,53391.1,1015443,41361,33549,169414656,41361
FIFO,simple,512,125000,1000000,0.981517,1276.34,61127.6,1037271,19533,0,80007168,19533
LRU,simple,512,125000,1000000,0.981517,2275.98,108654,1037271,19533,0,80007168,19533
LFU,simple,512,125000,1000000,0.981517,2805.69,133966,1037271,19533,0,80007168,19533
FIFO,simple,4096,1000000,1000000,0.981517,2395.82,118526,1037271,19533,0,80007168,19533
LRU,simple,4096,1000000,1000000,0.981517,2448.82,118451,1037271,19533,0,80007168,19533
LFU,simple,4096,1000000,1000000,0.981517,2414.4,114984,1037271,19533,0,80007168,19533
FIFO,simple,0.1,24,1000000,0.981517,2388.91,118558,1037271,19533,19509,80007168,19533
LRU,simple,0.1,24,1000000,0.981517,2404.31,116400,1037271,19533,19509,80007168,19533
LFU,simple,0.1,24,1000000,0.916752,5246.62,57906.2,968827,87977,87953,360353792,87977
FIFO,simple,1,244,1000000,0.981517,1283.27,62384.8,1037271,19533,19289,80007168,19533
LRU,simple,1,244,1000000,0.981517,1319.49,61767.8,1037271,19533,19289,80007168,19533
LFU,simple,1,244,1000000,0.919398,4367.74,49347.8,971623,85181,84937,348901376,85181
FIFO,simple,32,7812,1000000,0.981517,1284.21,61775,1037271,19533,11721,80007168,19533
LRU,simple,32,7812,1000000,0.981517,1322.6,61119.4,1037271,19533,11721,80007168,19533
LFU,simple,32,7812,1000000,0.960862,2363.47,53309.6,1015443,41361,33549,169414656,41361
