epsilon,avg_latency_ns,total_wall_time_s,IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
6,8875.538580,8.875969,354122,7.674522,1.201447,0.864640,0.135360,0.655385
10,9111.243579,9.111501,355445,7.754867,1.356633,0.851108,0.148892,0.659331
12,8989.093066,8.989454,356037,7.658923,1.330531,0.851990,0.148010,0.661233
14,13320.173831,13.320548,356649,10.892174,2.428373,0.817697,0.182303,0.663172
16,11999.790295,12.000013,357252,10.550484,1.449529,0.879206,0.120794,0.665131
18,14737.403314,14.737726,357812,13.253020,1.484706,0.899258,0.100742,0.666989
20,9552.234904,9.552502,358313,8.180384,1.372118,0.856360,0.143640,0.668904
24,8833.072256,8.833330,359461,7.477829,1.355501,0.846547,0.153453,0.672544
32,8782.663508,8.783029,361524,7.382927,1.400102,0.840590,0.159410,0.679767
48,8549.089298,8.549354,365209,7.183110,1.366244,0.840193,0.159807,0.693482
64,8476.815909,8.477094,368588,7.025959,1.451135,0.828817,0.171183,0.706125
6,8901.663109,8.901855,354122,7.635195,1.266660,0.857708,0.142292,0.655385
10,9072.811412,9.072986,355445,7.650619,1.422367,0.843231,0.156769,0.659331
12,8944.628365,8.944836,356037,7.586118,1.358719,0.848100,0.151900,0.661233
14,8921.382666,8.921685,356649,7.576436,1.345248,0.849216,0.150784,0.663172
16,8922.619975,8.922818,357252,7.547028,1.375791,0.845812,0.154188,0.665131
18,9012.365791,9.012629,357812,7.615366,1.397263,0.844966,0.155034,0.666989
20,12479.673646,12.479949,358313,11.020965,1.458984,0.883094,0.116906,0.668904
24,12168.974744,12.169249,359461,10.463080,1.706169,0.859797,0.140203,0.672544
32,8824.416666,8.824715,361524,7.442566,1.382149,0.843378,0.156622,0.679767
48,8625.901668,8.626169,365209,7.243618,1.382551,0.839726,0.160274,0.693482
64,8343.901259,8.344277,368588,7.006022,1.338255,0.839620,0.160380,0.706125
6,8934.125846,8.934525,354122,7.684017,1.250508,0.860036,0.139964,0.655385
10,9115.221335,9.115427,355445,7.749355,1.366072,0.850136,0.149864,0.659331
12,8949.986378,8.950169,356037,7.590934,1.359235,0.848133,0.151867,0.661233
14,8968.696430,8.969050,356649,7.567932,1.401118,0.843783,0.156217,0.663172
16,8965.843597,8.966187,357252,7.550825,1.415362,0.842145,0.157855,0.665131
18,8984.171876,8.984472,357812,7.620400,1.364072,0.848175,0.151825,0.666989
20,9286.608328,9.286873,358313,7.951320,1.335553,0.856189,0.143811,0.668904
24,14881.729538,14.881986,359461,13.357135,1.524851,0.897537,0.102463,0.672544
32,8835.196211,8.835575,361524,7.438230,1.397346,0.841850,0.158150,0.679767
48,8458.232781,8.458633,365209,7.122120,1.336512,0.841994,0.158006,0.693482
64,8437.975040,8.438205,368588,7.068746,1.369459,0.837707,0.162293,0.706125
