batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,51265.933829,13526.000000,145799.000000,151699.000000,51.326604,329135,39497427804,0.679478
2,108274.992131,118324.000000,151388.000000,978311.000000,54.684557,329135,48410627333,0.679478
4,115760.485541,141122.000000,160059.000000,268829.000000,31.164432,329131,27453161896,0.679482
8,264514.464424,148429.000000,462594.000000,3243849.000000,44.103056,329129,41297359840,0.679484
16,445644.806721,279315.000000,1514513.000000,5740953.000000,35.457943,329107,33562599714,0.679506
32,321223.544850,308573.000000,499202.000000,601767.000000,12.809769,329078,11389074878,0.679534
64,1341252.692215,505574.000000,6076114.000000,10338544.000000,25.083060,329022,23520558743,0.679588
128,611892.644658,674780.000000,871171.000000,979685.000000,6.522254,328909,5303172689,0.679698
256,942193.527905,993293.000000,1312745.000000,2463273.000000,5.199882,328698,3972525696,0.679904
512,1330204.332808,1498722.000000,1785907.000000,1937927.000000,3.836690,328248,2667213778,0.680342
1024,6809373.997812,6676295.000000,12436373.000000,12954116.000000,8.324020,327501,7045530962,0.681070
2048,10173009.803497,10251810.000000,15174455.000000,17245121.000000,6.436209,325746,5139335873,0.682779
4096,12999084.770816,13784641.000000,18210345.000000,19343787.000000,4.287186,321674,3033095978,0.686744
1,52043.129779,13725.000000,145637.000000,151734.000000,52.084675,329135,40125025757,0.679478
2,108419.182086,118810.000000,151378.000000,976081.000000,54.795194,329135,48242278871,0.679478
4,114466.501717,139667.000000,155044.000000,259489.000000,30.025838,329130,26414918482,0.679483
8,260359.983587,146540.000000,427571.000000,3171196.000000,43.339298,329126,40628732685,0.679487
16,449961.449830,277468.000000,1555801.000000,5748168.000000,35.689896,329111,33815073839,0.679502
32,320403.281139,307377.000000,498885.000000,602925.000000,12.699698,329072,11359888399,0.679540
64,1291966.850252,481221.000000,6037245.000000,10248712.000000,24.184581,329005,22689976966,0.679605
128,1387233.355347,704800.000000,6667202.000000,11134441.000000,13.364607,328890,12118780350,0.679717
256,1514710.953664,1045473.000000,3270110.000000,11276057.000000,7.673355,328696,6491105791,0.679906
512,1350553.794671,1519488.000000,1801795.000000,1946641.000000,3.877362,328245,2719298062,0.680345
1024,7020239.406008,6794896.000000,12520920.000000,13000974.000000,8.485365,327521,7295110069,0.681050
2048,10098352.122715,10594823.000000,14734285.000000,15877290.000000,6.334461,325807,5047018159,0.682719
4096,12731021.271815,13540307.000000,18466697.000000,19637013.000000,4.209616,321670,2962572626,0.686748
1,50953.016279,12860.000000,144015.000000,149776.000000,50.994267,329135,39793053644,0.679478
2,108467.854211,118890.000000,152458.000000,983342.000000,54.839470,329135,48458731453,0.679478
4,114035.128627,139374.000000,155134.000000,262479.000000,30.359492,329133,26723762710,0.679480
8,258395.830437,147229.000000,420519.000000,3148825.000000,43.222101,329124,40478805438,0.679489
16,452231.590646,280293.000000,1552932.000000,5770836.000000,36.378930,329103,33518619636,0.679510
32,321215.320115,308650.000000,500859.000000,589184.000000,12.833371,329086,11426816850,0.679526
64,1312766.161367,499853.000000,6044472.000000,10317838.000000,24.585500,329002,23031280133,0.679608
128,662278.496487,682387.000000,955817.000000,2136517.000000,6.900015,328915,5737048932,0.679693
256,939626.772514,984513.000000,1299139.000000,2476246.000000,5.054575,328695,3934825719,0.679907
512,1347959.787652,1518421.000000,1825400.000000,2006708.000000,3.889658,328283,2706467398,0.680308
1024,4254969.296904,2615056.000000,11381936.000000,12894049.000000,5.541001,327538,4273230193,0.681034
2048,10312354.198159,10567562.000000,14954511.000000,16121921.000000,6.490001,325805,5169664173,0.682721
4096,13424384.049016,13794661.000000,18159614.000000,19380660.000000,4.402029,321707,3172302271,0.686712
