threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,11055.603229,11.056046,219582
2,14193.880083,7.106765,196584
4,19495.332476,4.880809,168160
8,33231.559166,4.157595,150904
16,43109.172632,2.698063,174933
32,56735.299447,1.782614,183284
64,111046.301625,1.767919,193272
128,146036.881988,1.175494,205943
256,259914.238610,1.093263,206163
512,477510.902127,1.018348,197554
1024,822313.787291,0.960902,193475
2048,1498546.177093,1.072107,186888
4096,1807676.679397,1.075684,164999
8192,1491525.154499,1.110921,146789
16384,3522830.192141,1.542604,145600
