threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
1,2,2809.228775,2.809229,162192,2.227579
1,2,3095.363263,3.095363,162192,2.366584
1,2,2668.071327,2.668071,162192,2.161510
1,4,2679.837271,2.679837,162890,2.180032
1,4,2749.760427,2.749760,162890,2.219062
1,4,2627.794060,2.627794,162890,2.144138
1,6,2729.515896,2.729516,163538,2.229861
1,6,2684.118025,2.684118,163538,2.208674
1,6,2596.745018,2.596745,163538,2.152133
1,10,2752.076120,2.752076,164806,2.250724
1,10,4411.382827,4.411383,164806,3.896884
1,10,5078.556868,5.078557,164806,4.567001
1,12,5236.543643,5.236544,165432,4.709517
1,12,3895.817656,3.895818,165432,3.393786
1,12,2814.239340,2.814239,165432,2.311346
1,14,2857.533912,2.857534,166060,2.355373
1,14,2750.957551,2.750958,166060,2.271366
1,14,2677.136103,2.677136,166060,2.213507
1,16,2740.001642,2.740002,166701,2.265113
1,16,2705.131334,2.705131,166701,2.208250
1,16,2779.309605,2.779310,166701,2.312099
1,18,2645.476009,2.645476,167352,2.186830
1,18,2821.126495,2.821126,167352,2.356744
1,18,2783.407669,2.783408,167352,2.288301
1,20,2785.941862,2.785942,167972,2.301173
1,20,2704.237692,2.704238,167972,2.221736
1,20,2779.031320,2.779031,167972,2.312985
1,24,5009.326163,5.009326,169235,4.506728
1,24,5050.664916,5.050665,169235,4.537486
1,24,5074.728072,5.074728,169235,4.546295
1,32,3463.476193,3.463476,171589,2.958445
1,32,2753.874340,2.753874,171589,2.253323
1,32,2761.211826,2.761212,171589,2.257916
1,48,2823.097302,2.823097,176402,2.320267
1,48,2870.809049,2.870809,176402,2.369430
1,48,2799.297473,2.799297,176402,2.308733
1,64,3584.185137,3.584185,180968,3.073659
1,64,5229.129093,5.229129,180968,4.706937
1,64,5205.868452,5.205868,180968,4.675662
