threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,hit_rates
1,2,1801.391970,5.404176,306739,3.984484,0.261491
1,2,1809.591292,5.428774,306739,4.044213,0.261491
1,2,1830.405126,5.491215,306739,4.017527,0.261491
1,4,1693.518461,5.080555,307376,3.898585,0.263539
1,4,1686.573853,5.059722,307376,3.872077,0.263539
1,4,1667.949050,5.003847,307376,3.902170,0.263539
1,6,1742.498066,5.227494,307987,3.954457,0.265755
1,6,1717.407808,5.152223,307987,3.929121,0.265755
1,6,2259.221561,6.777665,307987,5.537414,0.265755
1,10,2287.674455,6.863023,309229,5.621587,0.269817
1,10,1994.292961,5.982879,309229,4.741886,0.269817
1,10,1746.128221,5.238385,309229,3.973032,0.269817
1,12,1707.999199,5.123998,309848,3.922951,0.271746
1,12,1757.637549,5.272913,309848,4.077585,0.271746
1,12,1729.956288,5.189869,309848,3.970471,0.271746
1,14,1747.813312,5.243440,310476,4.099709,0.273761
1,14,1774.523266,5.323570,310476,4.066876,0.273761
1,14,1689.098384,5.067295,310476,3.856459,0.273761
1,16,1765.760336,5.297281,311084,4.066432,0.275777
1,16,1705.009173,5.115028,311084,3.881580,0.275777
1,16,1704.090391,5.112271,311084,3.929426,0.275777
1,18,1725.190200,5.175571,311649,3.954361,0.277943
1,18,1658.283514,4.974851,311649,3.855247,0.277943
1,18,1701.115239,5.103346,311649,3.942962,0.277943
1,20,1702.242631,5.106728,312276,3.995349,0.279841
1,20,1742.472546,5.227418,312276,4.017278,0.279841
1,20,1748.676050,5.246028,312276,4.083438,0.279841
1,24,2259.236443,6.777709,313387,5.564086,0.283901
1,24,2214.930079,6.644790,313387,5.495219,0.283901
1,24,1944.977999,5.834934,313387,4.610921,0.283901
1,32,1750.266752,5.250800,315754,4.050215,0.291785
1,32,1688.484771,5.065454,315754,4.006100,0.291785
1,32,1693.297287,5.079892,315754,3.936480,0.291785
1,48,1897.328981,5.691987,320056,4.609262,0.307289
1,48,2297.147889,6.891444,320056,5.655128,0.307289
1,48,2274.270167,6.822811,320056,5.589185,0.307289
1,64,1786.243114,5.358729,324053,4.198859,0.322425
1,64,1697.454670,5.092364,324053,4.024116,0.322425
1,64,1734.575598,5.203727,324053,3.951302,0.322425
