epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,1224.001215,1.291568,8883,0.232959,1.058609,0.180369,0.819631,0.981695
16,1229.616507,1.297780,9333,0.244036,1.053744,0.188041,0.811959,0.981695
16,2215.057215,2.282972,10675,0.215108,2.067865,0.094223,0.905777,0.981695
16,2347.572316,2.416140,11375,0.211222,2.204918,0.087421,0.912579,0.981695
16,1184.643348,1.254864,9412,0.215787,1.039077,0.171960,0.828040,0.981695
16,1280.367402,1.347967,8739,0.231102,1.116864,0.171445,0.828555,0.981695
16,1234.671315,1.302808,9204,0.252067,1.050741,0.193480,0.806520,0.981695
16,1214.514987,1.282298,8682,0.236905,1.045393,0.184750,0.815250,0.981695
16,1173.210692,1.242614,9480,0.220982,1.021632,0.177836,0.822164,0.981695
16,1198.544970,1.266326,9719,0.227256,1.039069,0.179461,0.820539,0.981695
