epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4160879821.000000,4.160880,390626,1.872430
16,1,4117863349.000000,4.117863,390626,1.835223
16,1,4248821675.000000,4.248822,390626,1.888300
16,1,4060953962.000000,4.060954,390626,1.856826
16,1,4000068087.000000,4.000068,390626,1.827939
16,1,4016235233.000000,4.016235,390626,1.829409
16,1,3993045849.000000,3.993046,390626,1.816793
16,1,4031624783.000000,4.031625,390626,1.821392
16,1,4019346988.000000,4.019347,390626,1.832046
16,1,4033111299.000000,4.033111,390626,1.822425
