epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,7276.742663,7.277169,996790,4.511894,2.765274,0.620007,0.379993,0.002670
16,6094.324301,6.094663,996753,4.462910,1.631753,0.732265,0.267735,0.002641
16,7089.360271,7.089648,996753,4.527026,2.562622,0.638540,0.361460,0.002664
16,6197.460083,6.197702,996729,4.586321,1.611381,0.740003,0.259997,0.002623
16,6013.566834,6.013904,996748,4.375669,1.638235,0.727592,0.272408,0.002640
16,5951.754124,5.952072,996765,4.389964,1.562108,0.737552,0.262448,0.002607
16,5985.929399,5.986246,996745,4.423237,1.563009,0.738900,0.261100,0.002639
16,6324.878577,6.325124,996738,4.703631,1.621494,0.743642,0.256358,0.002642
16,6132.074432,6.132414,996767,4.454770,1.677643,0.726430,0.273570,0.002631
16,6104.846658,6.105091,996739,4.419029,1.686062,0.723827,0.276173,0.002639
