epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
2,3936.298534,2.755685,235946,1.875435,0.880250,0.680569,0.319431,0.664510
4,4660.841409,3.262933,166247,1.700896,1.562037,0.521278,0.478722,0.764355
6,3289.548090,2.302818,148098,1.422985,0.879833,0.617932,0.382068,0.790720
8,3240.201966,2.268524,139706,1.374469,0.894055,0.605887,0.394113,0.803227
10,3358.277776,2.350997,135075,1.333627,1.017370,0.567260,0.432740,0.810312
12,3301.153880,2.311111,132415,1.419948,0.891164,0.614400,0.385600,0.814670
14,3261.986189,2.283699,130523,1.312933,0.970766,0.574915,0.425085,0.817880
16,3222.404280,2.255986,129345,1.333765,0.922221,0.591212,0.408788,0.820066
18,3298.401227,2.309226,128658,1.390779,0.918447,0.602271,0.397729,0.821593
20,3271.315261,2.290251,128338,1.363768,0.926484,0.595466,0.404534,0.822572
24,3230.098257,2.261159,128153,1.310617,0.950542,0.579622,0.420378,0.823929
32,3249.594443,2.274914,129055,1.319503,0.955411,0.580023,0.419977,0.824803
48,3592.388523,2.514880,133377,1.515578,0.999302,0.602644,0.397356,0.832556
64,3327.164879,2.329207,139035,1.321937,1.007270,0.567548,0.432452,0.836571
128,3958.084271,2.771083,163209,1.567109,1.203974,0.565522,0.434478,0.827916
2,3713.423936,2.599743,235962,1.703564,0.896179,0.655282,0.344718,0.664487
4,3560.929021,2.493029,166227,1.578968,0.914061,0.633353,0.366647,0.764383
6,3409.734119,2.387057,148109,1.502721,0.884336,0.629529,0.370471,0.790704
8,3392.472036,2.375044,139706,1.423762,0.951282,0.599468,0.400532,0.803227
10,3352.442430,2.346902,135081,1.409831,0.937071,0.600720,0.399280,0.810303
12,3291.684863,2.304393,132408,1.335062,0.969330,0.579355,0.420645,0.814679
14,3331.959494,2.332668,130523,1.388336,0.944332,0.595171,0.404829,0.817880
16,3271.663493,2.290498,129347,1.339511,0.950987,0.584812,0.415188,0.820063
18,4455.086629,3.118784,128668,1.484804,1.633980,0.476084,0.523916,0.821579
20,3490.544346,2.443715,128322,1.504034,0.939681,0.615470,0.384530,0.822594
24,3356.455459,2.349738,128153,1.383284,0.966454,0.588697,0.411303,0.823929
32,3305.032990,2.313646,129048,1.339486,0.974160,0.578950,0.421050,0.824812
48,3312.408377,2.318990,133386,1.399084,0.919906,0.603316,0.396684,0.832545
64,3322.062360,2.325655,139044,1.332141,0.993514,0.572803,0.427197,0.836560
128,3803.544556,2.662702,163229,1.470230,1.192472,0.552157,0.447843,0.827894
2,3647.603661,2.553636,235951,1.690046,0.863590,0.661820,0.338180,0.664503
4,3520.597087,2.464758,166223,1.592390,0.872369,0.646063,0.353937,0.764389
6,3414.339947,2.390342,148118,1.428364,0.961978,0.597556,0.402444,0.790691
8,3515.938036,2.461478,139691,1.443547,1.017931,0.586455,0.413545,0.803248
10,3300.456783,2.310654,135068,1.325059,0.985594,0.573456,0.426544,0.810322
12,3321.089803,2.325049,132403,1.376545,0.948504,0.592050,0.407950,0.814686
14,3280.886433,2.296824,130517,1.354942,0.941882,0.589920,0.410080,0.817888
16,3481.071611,2.437045,129340,1.500064,0.936981,0.615526,0.384474,0.820073
18,3255.373989,2.279100,128659,1.300694,0.978406,0.570705,0.429295,0.821592
20,3277.035104,2.294264,128332,1.350938,0.943326,0.588833,0.411167,0.822580
24,3248.897079,2.274550,128155,1.315469,0.959081,0.578343,0.421657,0.823927
32,3293.518933,2.305552,129043,1.301443,1.004109,0.564482,0.435518,0.824819
48,3290.238839,2.303473,133375,1.317329,0.986144,0.571888,0.428112,0.832558
64,3370.639403,2.359810,139036,1.380570,0.979239,0.585035,0.414965,0.836570
128,3909.798779,2.737086,163217,1.479688,1.257398,0.540607,0.459393,0.827907
