epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
6,4630.740555,13.892573,390353,10.719412,3.173161,0.771593,0.228407,0.873349
10,7300.914302,21.903050,390378,18.368664,3.534386,0.838635,0.161365,0.875242
12,4627.976871,13.884251,390386,11.036336,2.847914,0.794882,0.205118,0.876156
14,4670.859217,14.012878,390395,11.137830,2.875049,0.794828,0.205172,0.877074
16,4793.834576,14.381859,390404,10.935727,3.446132,0.760383,0.239617,0.877968
18,4814.112535,14.442655,390424,11.114196,3.328459,0.769540,0.230460,0.878855
20,4816.544966,14.449951,390440,11.175502,3.274449,0.773394,0.226606,0.879721
24,4873.081978,14.619587,390458,11.151090,3.468497,0.762750,0.237250,0.881435
32,4784.565215,14.353877,390496,10.985570,3.368307,0.765338,0.234662,0.884713
48,4810.639362,14.432212,390537,11.132876,3.299336,0.771391,0.228609,0.890730
64,4550.856777,13.652761,390572,11.159516,2.493245,0.817382,0.182618,0.896179
6,4711.466583,14.134604,390353,10.940829,3.193775,0.774046,0.225954,0.873349
10,4780.825786,14.342798,390378,10.933070,3.409728,0.762269,0.237731,0.875242
12,4770.499813,14.311819,390386,11.002549,3.309270,0.768774,0.231226,0.876156
14,4796.709193,14.390340,390395,10.901262,3.489078,0.757540,0.242460,0.877074
16,4770.827485,14.312779,390404,10.803938,3.508842,0.754846,0.245154,0.877968
18,7853.355548,23.560261,390424,19.897838,3.662422,0.844551,0.155449,0.878855
20,6713.702607,20.141421,390440,16.520615,3.620805,0.820231,0.179769,0.879721
24,4776.614673,14.330175,390458,10.807254,3.522920,0.754161,0.245839,0.881435
32,4798.032406,14.394415,390496,10.864159,3.530257,0.754748,0.245252,0.884713
48,6154.162642,18.462793,390537,14.930426,3.532367,0.808676,0.191324,0.890730
64,5861.862940,17.585773,390573,13.989744,3.596029,0.795515,0.204485,0.896179
6,4599.760541,13.799519,390353,10.623672,3.175847,0.769858,0.230142,0.873349
10,4870.112058,14.610659,390378,11.143633,3.467026,0.762706,0.237294,0.875242
12,9264.745579,27.794436,390386,23.538856,4.255581,0.846891,0.153109,0.876156
14,5344.901298,16.035009,390395,12.502691,3.532317,0.779712,0.220288,0.877074
16,4792.033702,14.376290,390404,10.753640,3.622650,0.748012,0.251988,0.877968
18,4781.287505,14.344191,390424,10.740325,3.603866,0.748758,0.251242,0.878855
20,4783.013192,14.349262,390440,10.853600,3.495663,0.756387,0.243613,0.879721
24,4784.469893,14.353702,390458,10.778442,3.575260,0.750917,0.249083,0.881435
32,4852.596809,14.558089,390496,11.026710,3.531379,0.757428,0.242572,0.884713
48,7404.165350,22.212690,390537,18.540319,3.672371,0.834672,0.165328,0.890730
64,4791.208369,14.373925,390572,10.943573,3.430352,0.761349,0.238651,0.896179
6,4595.836183,13.787715,390353,10.600520,3.187195,0.768838,0.231162,0.873349
10,4761.885667,14.285957,390378,10.846992,3.438964,0.759277,0.240723,0.875242
12,4788.806347,14.366644,390386,10.826465,3.540178,0.753583,0.246417,0.876156
14,4750.910048,14.253029,390395,10.862802,3.390227,0.762140,0.237860,0.877074
16,4759.285288,14.278167,390404,11.109150,3.169017,0.778052,0.221948,0.877968
18,4655.373476,13.966429,390424,11.091884,2.874545,0.794182,0.205818,0.878855
20,4973.132553,14.919576,390440,11.317359,3.602216,0.758558,0.241442,0.879721
24,4791.416561,14.374539,390458,10.763894,3.610645,0.748817,0.251183,0.881435
32,4792.000729,14.376197,390496,10.790255,3.585942,0.750564,0.249436,0.884713
48,7379.927305,22.140078,390537,18.443135,3.696942,0.833020,0.166980,0.890730
64,4773.059327,14.319532,390572,10.810188,3.509343,0.754926,0.245074,0.896179
6,4591.866794,13.775913,390353,10.551226,3.224688,0.765918,0.234082,0.873349
10,4770.000437,14.310213,390378,10.755962,3.554251,0.751628,0.248372,0.875242
12,7449.156993,22.347668,390386,18.419268,3.928399,0.824214,0.175786,0.876156
14,4794.811559,14.384678,390395,10.810617,3.574062,0.751537,0.248463,0.877074
16,4749.166842,14.247808,390404,10.777252,3.470556,0.756415,0.243585,0.877968
18,4774.248411,14.322934,390424,10.810205,3.512729,0.754748,0.245252,0.878855
20,4785.930154,14.358113,390440,10.857898,3.500215,0.756220,0.243780,0.879721
24,4777.683007,14.333345,390458,10.743450,3.589895,0.749542,0.250458,0.881435
32,6716.904416,20.151015,390496,16.459117,3.691898,0.816788,0.183212,0.884713
48,6473.040507,19.419325,390537,15.712370,3.706954,0.809110,0.190890,0.890730
64,6066.292830,18.199199,390572,14.722349,3.476851,0.808956,0.191044,0.896179
