epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4368426922.000000,4.368427,390626,1.954810
16,1,4730260013.000000,4.730260,390626,1.897871
16,1,4222468315.000000,4.222468,390626,1.909037
16,1,4140244690.000000,4.140245,390626,1.849443
16,1,4183301557.000000,4.183302,390626,1.849340
16,1,4177850225.000000,4.177850,390626,1.843490
16,1,4168550946.000000,4.168551,390626,1.842685
16,1,4186274713.000000,4.186275,390626,1.841450
16,1,4176038879.000000,4.176039,390626,1.859225
16,1,4132421916.000000,4.132422,390626,1.845037
