baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,hit_ratio
FALCON,1,1,382856.042497,4312475634,458413,0.501219
FALCON,2,1,538784.989012,3472234328,409791,0.549910
FALCON,4,1,927475.084143,2961660364,378320,0.584085
FALCON,8,1,1822121.366597,2680667049,357646,0.609617
FALCON,16,1,4024792.095767,2845274886,345833,0.625513
FALCON,32,1,8639277.931040,2328680200,332836,0.642651
FALCON,64,1,19982198.446105,2902809453,326340,0.650293
FALCON,128,1,63267067.727971,4158051454,317510,0.658860
FALCON,1,2,368784.419937,3746290923,516167,0.445617
FALCON,2,2,462291.748006,2441638668,465773,0.494059
FALCON,4,2,664393.327782,1753080653,413002,0.546307
FALCON,8,2,1153663.347368,1382466889,376278,0.586732
FALCON,16,2,2263719.684523,1206811719,358718,0.608994
FALCON,32,2,5122753.488758,1314436842,350705,0.619689
FALCON,64,2,10673652.120939,1368848535,341846,0.631145
FALCON,128,2,25300910.699532,1711326229,337225,0.636749
FALCON,1,4,430582.297439,4008858853,585932,0.379273
FALCON,2,4,578271.899770,2571135102,555435,0.407575
FALCON,4,4,795687.350436,1885101103,466493,0.493507
FALCON,8,4,1048867.331737,1237589407,414312,0.544881
FALCON,16,4,1941083.006176,1071376615,385683,0.576965
FALCON,32,4,3234525.594607,865884506,364305,0.602149
FALCON,64,4,6592246.666649,855868937,355534,0.613513
FALCON,128,4,12598920.888985,811844093,345102,0.626895
FALCON,1,8,524869.839937,4995684880,710656,0.262920
FALCON,2,8,735712.752341,3159236093,670213,0.300062
FALCON,4,8,1094838.571517,2332930020,553802,0.409352
FALCON,8,8,1445351.981053,1547544649,466817,0.492510
FALCON,16,8,2464634.765740,1338758343,413641,0.545610
FALCON,32,8,3326185.568347,900289245,381642,0.580080
FALCON,64,8,5560880.895811,737915312,362465,0.603568
FALCON,128,8,10517461.982776,696938062,355074,0.614012
FALCON,1,16,702743.938028,7334986919,854158,0.131210
FALCON,2,16,1192747.234536,5012089142,793001,0.186747
FALCON,4,16,1480462.927074,3095301577,668877,0.301257
FALCON,8,16,2053561.320535,2150122786,554701,0.408326
FALCON,16,16,2932472.491412,1542518922,467189,0.492302
FALCON,32,16,5373632.107993,1393400596,412357,0.546772
FALCON,64,16,7607179.443645,990261002,381654,0.579964
FALCON,128,16,12228493.384788,814429720,363324,0.602342
FALCON,1,32,768314.149520,9375764518,956775,0.038577
FALCON,2,32,1630680.619255,7500812419,898882,0.090698
FALCON,4,32,2523022.842780,5246926333,792850,0.186978
FALCON,8,32,2983699.354259,3075422083,666628,0.303350
FALCON,16,32,4161482.158783,2142343721,553506,0.409616
FALCON,32,32,6407666.414163,1621830831,464034,0.495148
FALCON,64,32,8961090.346319,1133735826,411742,0.547524
FALCON,128,32,16770945.789529,1136467709,390181,0.570956
FALCON,1,64,642676.763076,10562795478,1000000,0.000000
FALCON,2,64,1543417.668272,8998174653,956856,0.038510
FALCON,4,64,3552004.621295,7597102783,911420,0.079332
FALCON,8,64,5168005.810641,5278958464,790548,0.189001
FALCON,16,64,6089923.155086,3085934149,664772,0.305039
FALCON,32,64,8427993.843733,2120371275,550100,0.412714
FALCON,64,64,12147815.231094,1530195234,463579,0.495895
FALCON,128,64,18692879.618555,1198524644,415905,0.543438
FALCON,1,128,590303.012282,10638254452,1000000,0.000000
FALCON,2,128,2024086.852751,9912793970,1000000,0.000000
FALCON,4,128,4366695.169123,9443480965,980909,0.016993
FALCON,8,128,7337503.067927,7511482605,909229,0.081228
FALCON,16,128,10532598.587824,5305520363,788265,0.190987
FALCON,32,128,12598024.657747,3161575711,663533,0.306231
FALCON,64,128,16872788.539288,2123379031,549267,0.413427
FALCON,128,128,22966926.217776,1485056115,471695,0.487932
FALCON,1,1,391559.051388,4470621523,459473,0.500098
FALCON,2,1,525710.458760,3127955048,409852,0.549503
FALCON,4,1,898838.600875,2689447423,378034,0.584269
FALCON,8,1,1754208.024891,2148293264,353437,0.615265
FALCON,16,1,4215918.280570,2286498727,340698,0.632545
FALCON,32,1,8500248.894463,2626588078,335337,0.639522
FALCON,64,1,18894797.802181,2978621774,328381,0.647966
FALCON,128,1,55058908.294233,3719220798,317697,0.658685
FALCON,1,2,352743.279829,3596581523,514525,0.447219
FALCON,2,2,460553.707229,2392978129,467794,0.491842
FALCON,4,2,662075.061715,1777961241,413876,0.545483
FALCON,8,2,1309083.388851,1538156570,376812,0.586463
FALCON,16,2,2444329.426687,1302565843,359085,0.608610
FALCON,32,2,4439998.608372,1148658562,350063,0.620311
FALCON,64,2,10430391.751586,1337957619,341971,0.630968
FALCON,128,2,23684934.130855,1617685212,338789,0.635003
FALCON,1,4,437486.703702,4039746500,584116,0.381002
FALCON,2,4,537421.469743,2413765420,556291,0.406856
FALCON,4,4,719142.620506,1698967930,468167,0.491453
FALCON,8,4,1049381.462144,1208532411,412668,0.546443
FALCON,16,4,1899748.315362,1057660068,384569,0.578001
FALCON,32,4,3371341.123753,900936368,366462,0.599597
FALCON,64,4,6567290.055388,849840880,355418,0.613704
FALCON,128,4,13245887.983477,856115046,346370,0.625221
