baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,1,16665.548963,16665830521,456786,15457238609,0.502900,141470101,15660359798
FALCON,2,1,23111.301411,11556577566,401519,10446674679,0.558280,191890953,10621537260
FALCON,4,1,17807.726246,4474845088,371727,3406840702,0.591639,166160406,3559998236
FALCON,8,1,24524.951179,3067850128,349569,2018554926,0.620534,210119809,2161371701
FALCON,16,1,43369.219780,2713076447,340143,1549319126,0.633275,253952705,1702491328
FALCON,32,1,90783.308081,2845036141,332783,1358495823,0.642685,322262937,1528470272
FALCON,64,1,248903.218395,3902526567,326659,2092185695,0.649812,403025176,2272176257
FALCON,128,1,573085.194937,4486126078,317693,2309846919,0.658848,401377524,2491992201
FALCON,1,2,31442.240871,31442465140,501304,54412154081,0.459735,434510700,54767502664
FALCON,2,2,25175.160695,12592442122,462085,23848208135,0.497022,412282468,24078672583
FALCON,4,2,40488.126273,10126840215,410960,19312008606,0.548292,692004590,19496859702
FALCON,8,2,38702.630984,4951118828,378477,8948169139,0.583665,674334554,9115113771
FALCON,16,2,78496.417330,5003777798,360566,8885229909,0.605990,1100031084,9061351980
FALCON,32,2,94089.617964,2979701800,345069,4868084386,0.626610,989220352,5043902125
FALCON,64,2,152378.430171,2395726314,335996,3486272707,0.638785,1145811054,3676015311
FALCON,128,2,272024.637394,2129315396,329181,2881627503,0.646818,1033086680,3077202473
FALCON,1,4,47003.229110,47003479458,586789,145681272505,0.378394,1313383676,146281916439
FALCON,2,4,50573.198124,25287927488,550044,98277376485,0.412626,1301542692,98760924362
FALCON,4,4,64730.292646,16194632076,460185,62929764648,0.499566,2093729488,63221651211
FALCON,8,4,29635.017660,3740685123,412158,14069601708,0.546931,1762662460,14260536180
FALCON,16,4,79266.361991,5006960020,381953,19027647993,0.579600,2879760036,19225264074
FALCON,32,4,90143.910201,2892317573,360458,10313621301,0.605816,2766921908,10515218471
FALCON,64,4,124618.059522,1963385926,347285,6777867943,0.623584,3150106608,6982874439
FALCON,128,4,226296.160326,1774629742,337999,5741463204,0.636067,5992794900,5959627590
FALCON,1,8,18327.405161,18327658639,698180,95792251765,0.274380,1603864424,96240358251
FALCON,2,8,57480.891790,28761317215,632135,195076609060,0.335843,2982665928,195809988064
FALCON,4,8,58188.569096,14568043675,544200,111815789931,0.418622,3907975064,112307480813
FALCON,8,8,69556.936408,8707586893,464606,67838406759,0.495037,5161646512,68179986130
FALCON,16,8,65971.683809,4148392872,411608,32218899750,0.547851,4022583776,32439295414
FALCON,32,8,103738.620245,3272182585,380983,25200015466,0.580647,5202346528,25421469812
FALCON,64,8,151560.202250,2393219808,361817,17997400226,0.604266,9911318704,18237678595
FALCON,128,8,234402.086334,1840112777,348396,13423433179,0.622191,11401238768,13676868345
FALCON,1,16,48674.089017,48674242278,837066,495466375266,0.146645,4721596480,496403481066
FALCON,2,16,60595.253435,30309895827,770651,437074633768,0.207424,6223791808,438021621897
FALCON,4,16,71205.050655,17807342426,666560,281505267635,0.303522,7647663056,282336195639
FALCON,8,16,87148.554891,10933877649,550201,172783537176,0.412603,6468257952,173412425145
FALCON,16,16,101134.582495,6352806078,464263,100227179677,0.495161,6622970176,100597897461
FALCON,32,16,125637.098530,3935253689,411145,61803378401,0.548093,6668038832,62079307671
FALCON,64,16,166236.998509,2607445854,380603,40589987152,0.581091,10126612704,40861653484
FALCON,128,16,294535.734340,2321550897,363102,35520265507,0.602712,53154590416,35830318684
FALCON,1,32,51520.335307,51520467986,941559,921300985899,0.052193,7943330560,922600901491
FALCON,2,32,57357.907918,28701036630,868540,696328166600,0.118182,10908698720,697367148818
FALCON,4,32,105329.861340,26347501804,787866,834838197133,0.191436,13009900896,835887452705
FALCON,8,32,127257.844428,15917719893,664336,506297556602,0.305411,13022686976,507184324418
FALCON,16,32,153804.840679,9616606467,549031,305236823499,0.413840,12442119680,305970651319
FALCON,32,32,190170.776903,5948876283,463064,188437055973,0.496381,12655476960,188977065454
FALCON,64,32,228594.879864,3579926179,411431,112914128127,0.548133,24640907488,113275071916
FALCON,128,32,333587.205951,2616994775,381471,81879266945,0.580431,45178460736,82288269197
FALCON,1,64,58674.886652,58674991663,999998,1718075201876,0.000002,12044753536,1719552564394
FALCON,2,64,71936.774987,35968576746,948861,1382022792002,0.045676,19006683392,1383219899154
