baseline,threads,latency_ns,wall_time_s,avg_IOs,data_IO_time
FALCON-RMI,1,41586.867166,20.793815,498954,16420518409
FALCON-RMI,2,75239.934748,18.810283,497832,14416510529
FALCON-RMI,4,128751.863744,16.095237,495723,10484573253
FALCON-RMI,8,271027.960612,16.940622,491616,10800295407
FALCON-RMI,16,307756.470704,9.623150,493435,12119641394
FALCON-RMI,32,518645.264694,8.113063,493622,24761353287
FALCON-RMI,64,994524.197574,7.786721,494514,53818456319
FALCON-RMI,128,1793633.116490,7.034548,495367,100686433224
FALCON-RMI,256,3521547.443254,6.913814,490319,95908088560
FALCON-RMI,512,7356089.036232,7.316685,480324,100726476389
FALCON-RMI,1024,13671025.212716,6.928785,460517,93857338764
FALCON-RMI,1,54488.378292,27.244521,499022,22945640531
FALCON-RMI,2,73879.333034,18.488091,497832,14375061613
FALCON-RMI,4,135602.731948,16.956877,495723,11278186007
FALCON-RMI,8,274523.725668,17.188781,491615,10961977674
FALCON-RMI,16,325995.152458,10.220721,492999,13973225351
FALCON-RMI,32,532317.403648,8.324768,493959,25828690457
FALCON-RMI,64,981442.382534,7.681761,494762,54171591834
FALCON-RMI,128,1673454.174446,6.567780,495504,91869686957
FALCON-RMI,256,3519887.552786,6.905852,489090,91822076835
FALCON-RMI,512,7040977.355574,6.979525,480160,97552992093
FALCON-RMI,1024,14076092.590000,7.138043,469511,96240806842
FALCON-RMI,1,51726.863402,25.871910,498958,21720129511
FALCON-RMI,2,70847.031484,17.717309,497820,13295558933
FALCON-RMI,4,138319.077526,17.300145,495686,11446451963
FALCON-RMI,8,280068.376768,17.536220,491626,11078775185
FALCON-RMI,16,313237.227152,9.814962,492695,13587045667
FALCON-RMI,32,510238.301610,7.976106,494138,24849778486
FALCON-RMI,64,913133.833996,7.149507,494792,49559181567
FALCON-RMI,128,1777443.789292,6.978273,495583,98444047789
FALCON-RMI,256,3517680.958140,6.936377,489968,98468030259
FALCON-RMI,512,7461685.389252,7.409799,478794,106594034363
FALCON-RMI,1024,13885429.228194,7.094503,464236,98056458286
