threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,9935.533489,9.935981,363721
2,13522.097462,6.763172,361279
4,20722.458818,5.220493,345101
8,36328.502350,4.650294,339543
16,69787.217786,4.403192,342289
32,91518.888352,2.906203,347359
64,118769.641778,1.899245,350967
128,211381.250898,1.674425,351065
256,400941.311616,1.599242,352890
512,833472.982467,1.685389,356154
1024,1735862.487320,1.813909,360992
2048,2887361.346949,1.641482,347288
4096,5568975.591086,1.875600,351179
8192,9601263.410405,2.219117,349323
16384,29647192.188215,4.169109,363682
