baseline,epsilon,threads,latency_ns,wall_time_s,hit_ratio,avg_IOs,data_io_ns
FALCON,16,1,62690.480664,31.345833,0.000000,2974976,12995706997
FALCON,16,2,124789.840221,31.197996,0.000000,2971970,13567256493
FALCON,16,4,207961.638815,25.998816,0.000000,2965115,7793229207
FALCON,16,8,419674.099708,26.236314,0.000000,2953709,8679288925
FALCON,16,16,475128.245793,14.856476,0.000000,2958569,11329011776
FALCON,16,32,581079.486736,9.087277,0.000000,2961458,17175718547
FALCON,16,64,962759.626351,7.530708,0.000000,2963929,38236145694
FALCON,16,128,1804972.773597,7.072004,0.000000,2964661,86979475612
FALCON,16,256,3531730.828581,6.934516,0.000000,2952676,83968125484
FALCON,16,512,7124644.556356,7.124857,0.000000,2930104,85129161612
FALCON,16,1024,15837152.566354,7.982664,0.000000,2886264,90253513032
FALCON,16,1,77667.522918,38.849807,0.000000,2974863,21332465776
FALCON,16,2,129618.263727,32.405122,0.000000,2972107,15263938929
FALCON,16,4,213240.737121,26.668758,0.000000,2964972,9406702264
FALCON,16,8,391416.228301,24.497940,0.000000,2953522,6876806471
FALCON,16,16,449194.929074,14.044586,0.000000,2960115,9649894985
FALCON,16,32,524337.154337,8.199926,0.000000,2963157,13031673323
FALCON,16,64,909067.952026,7.117315,0.000000,2964419,34805101841
FALCON,16,128,1737494.478686,6.812513,0.000000,2965259,83657379121
FALCON,16,256,3514682.064238,6.907404,0.000000,2952187,83378705360
FALCON,16,512,7281590.194075,7.268509,0.000000,2926616,86378269288
FALCON,16,1024,14740609.595888,7.456529,0.000000,2871500,84561522915
FALCON,16,1,92590.229239,46.298954,0.000000,2974803,28543509741
FALCON,16,2,121650.625575,30.416131,0.000000,2971945,13482350982
FALCON,16,4,196094.938998,24.520270,0.000000,2965481,7715710887
FALCON,16,8,394918.445448,24.687362,0.000000,2954051,6971294096
FALCON,16,16,446648.112752,13.964356,0.000000,2960069,9685522895
FALCON,16,32,565052.596078,8.846899,0.000000,2962747,15581961099
FALCON,16,64,956169.533860,7.477058,0.000000,2963337,38400557739
FALCON,16,128,1768484.124954,6.939019,0.000000,2964492,86083157562
FALCON,16,256,3524990.528284,6.911370,0.000000,2952025,84260350680
FALCON,16,512,7449352.563846,7.405152,0.000000,2923097,87155392071
FALCON,16,1024,15569040.659331,7.858930,0.000000,2872708,92126973055
