baseline,epsilon,threads,latency_ns,wall_time_s,hit_ratio,avg_IOs,data_io_ns
FALCON,16,1,60022.314810,30.011577,0.000000,2975042,13159306102
FALCON,16,2,123916.326172,30.980289,0.000000,2972205,13768535990
FALCON,16,4,223729.383286,27.970689,0.000000,2965210,10395928846
FALCON,16,8,418478.240386,26.160383,0.000000,2953548,8457182552
FALCON,16,16,452522.921394,14.144209,0.000000,2960181,9877619450
FALCON,16,32,589404.426916,9.214918,0.000000,2961704,17369608707
FALCON,16,64,957773.288208,7.493707,0.000000,2963516,38046806106
FALCON,16,128,1783454.341116,6.989033,0.000000,2964801,87303189737
FALCON,16,256,3578670.092436,7.034618,0.000000,2951239,85121705142
FALCON,16,512,7079318.389222,7.055947,0.000000,2929763,82385904587
FALCON,16,1024,16683439.948382,8.474841,0.000000,2855085,98308118713
FALCON,16,1,72823.728208,36.421097,0.000000,2974965,19260975405
FALCON,16,2,119497.630336,29.875405,0.000000,2972182,12594136959
FALCON,16,4,201283.461724,25.173216,0.000000,2965678,8209185728
FALCON,16,8,421479.834036,26.354120,0.000000,2953605,8875259909
FALCON,16,16,451821.136500,14.127455,0.000000,2959015,9823679238
FALCON,16,32,599773.037372,9.377335,0.000000,2961109,17615436450
FALCON,16,64,942576.127886,7.382720,0.000000,2963627,37107194866
FALCON,16,128,1716145.964562,6.733594,0.000000,2965139,82176837119
FALCON,16,256,3516105.952702,6.912878,0.000000,2952626,82351026316
FALCON,16,512,7864401.523372,7.805267,0.000000,2927957,94131914037
FALCON,16,1024,14522645.606522,7.430934,0.000000,2898782,89337864305
FALCON,16,1,81272.424066,40.650532,0.000000,2974962,23484058810
FALCON,16,2,105354.491640,26.339142,0.000000,2972212,9512331465
FALCON,16,4,215010.504836,26.897032,0.000000,2965372,9809016616
FALCON,16,8,423973.272514,26.512984,0.000000,2954062,8977882695
FALCON,16,16,445331.829972,13.919297,0.000000,2960102,9565122950
FALCON,16,32,524773.608892,8.204826,0.000000,2962338,13247248653
FALCON,16,64,854803.725378,6.684452,0.000000,2964399,31703077388
FALCON,16,128,1764860.078686,6.923489,0.000000,2964221,85833099706
FALCON,16,256,3551149.824908,6.978528,0.000000,2951683,85643801392
FALCON,16,512,7137465.327714,7.139060,0.000000,2930485,84256025870
FALCON,16,1024,13767470.528760,7.145773,0.000000,2884448,82948942407
