baseline,threads,latency_ns,wall_time_s,avg_IOs,data_IO_time
FALCON-RMI,1,107638.810662,53.819808,495108,41983805426
FALCON-RMI,2,275598.126586,68.899952,490154,53992440270
FALCON-RMI,4,544490.502278,68.062704,481059,53427836510
FALCON-RMI,8,1108109.388442,69.258515,464335,55359271056
FALCON-RMI,16,1579739.426036,49.368499,469094,74761539257
FALCON-RMI,32,1967690.465922,30.752352,470566,88050004024
FALCON-RMI,64,2840410.512226,22.212376,473419,133524752374
FALCON-RMI,128,6665464.418800,26.163873,475166,336974531587
FALCON-RMI,256,13248410.543746,25.944080,452401,342214962607
FALCON-RMI,512,26587320.179048,26.127996,411409,344259175958
FALCON-RMI,1024,44790445.263802,22.225098,355060,297147475505
FALCON-RMI,1,113261.150784,56.630962,495108,44838033837
FALCON-RMI,2,261719.236906,65.435340,490154,52160882398
FALCON-RMI,4,522212.632116,65.293545,481056,51990337460
FALCON-RMI,8,1139086.356136,71.215336,464334,57875025332
FALCON-RMI,16,1374756.460606,42.994517,468731,62537682892
FALCON-RMI,32,1760930.106554,27.522737,470643,75463962053
FALCON-RMI,64,2892233.007458,22.619499,474204,141831192421
FALCON-RMI,128,5497204.448238,21.575018,476197,280753005178
FALCON-RMI,256,13911455.465766,27.253667,452760,359415006679
FALCON-RMI,512,25371968.877024,25.032079,416261,338919969495
FALCON-RMI,1024,45562328.236654,22.566202,353488,311480542293
FALCON-RMI,1,78278.547746,39.143462,495108,31344843325
FALCON-RMI,2,130121.248920,32.530829,490154,23252168713
FALCON-RMI,4,381562.204614,47.700988,481056,35481323771
FALCON-RMI,8,1117221.756204,69.851856,464338,56136144719
FALCON-RMI,16,1249041.376216,39.037580,468684,47335959827
FALCON-RMI,32,1749121.740292,27.338585,470963,74096897340
FALCON-RMI,64,2873391.479586,22.476779,473391,139084281109
FALCON-RMI,128,6553513.607612,25.711421,475340,326735180854
FALCON-RMI,256,13802093.838294,27.087487,451991,351796034793
FALCON-RMI,512,23096839.686780,22.825160,415837,293861883917
FALCON-RMI,1024,45335665.442734,22.549053,366538,304579230830
