epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
2,1,23676.898969,16.573829,0.036389,3973307,8935510625
4,1,24694.729503,17.286311,0.281744,2965588,7822875814
8,1,24832.016770,17.382412,0.405341,2461770,6852392713
12,1,23068.888350,16.148222,0.446758,2296269,6593490649
16,1,23215.469977,16.250829,0.467268,2217156,6404718953
20,1,22440.850663,15.708595,0.479812,2170766,6256007895
24,1,22824.422711,15.977096,0.488419,2140496,6076641541
32,1,22820.377803,15.974264,0.499148,2106337,5958377092
48,1,22592.984264,15.815089,0.510535,2079946,5590026766
64,1,21413.386816,14.989371,0.516262,2077305,5352752895
128,1,20201.700247,14.141190,0.525823,2118873,4794399267
2,1,22453.127076,15.717189,0.036497,3972864,8858651539
4,1,23479.887847,16.435921,0.281570,2966303,7511659970
8,1,22270.078994,15.589055,0.405334,2461800,6730569132
12,1,21896.629961,15.327641,0.446784,2296164,6346402403
16,1,21888.377627,15.321864,0.467511,2216145,6229109110
20,1,21831.620437,15.282134,0.480722,2166968,5904887161
24,1,22716.354070,15.901448,0.489012,2138012,5966297496
32,1,21086.536611,14.760576,0.500745,2099622,5267591307
48,1,20808.597809,14.566018,0.511034,2077826,5290973018
64,1,21116.535381,14.781575,0.516910,2074525,5088761460
128,1,20754.508253,14.528156,0.525906,2118501,4855534785
2,1,23002.272094,16.101590,0.036322,3973586,8813901065
4,1,24262.120421,16.983484,0.281565,2966326,7672372694
8,1,22035.166534,15.424617,0.405201,2462352,6629108071
12,1,22306.446621,15.614513,0.446906,2295656,6419076341
16,1,21619.085933,15.133360,0.467832,2214810,6138922685
20,1,21641.260049,15.148882,0.480858,2166398,5928672844
24,1,21193.725221,14.835608,0.489681,2135214,5606415355
32,1,20858.362367,14.600854,0.500524,2100551,5402848061
48,1,20506.423337,14.354496,0.511793,2074598,4971233544
64,1,20694.117429,14.485882,0.516721,2075334,5048178785
128,1,19853.982737,13.897788,0.525899,2118531,4802693774
