baseline,epsilon,threads,latency_ns,wall_time_s,hit_ratio,avg_IOs,data_io_ns
FALCON,16,1,59788.341320,29.894615,0.000000,2972609,13146015271
FALCON,16,2,352436.269990,88.109936,0.000000,2964410,69076734344
FALCON,16,4,228106.623378,28.516760,0.000000,2950539,11182236212
FALCON,16,8,397628.937280,24.857819,0.000000,2925149,7022681039
FALCON,16,16,504515.805090,15.768970,0.000000,2943192,11868731764
FALCON,16,32,606462.490312,9.484455,0.000000,2944744,17775728700
FALCON,16,64,959028.381102,7.509056,0.000000,2946741,37870154276
FALCON,16,128,1763083.500858,6.922244,0.000000,2949079,85921967909
FALCON,16,256,3434023.929094,6.739820,0.000000,2923856,82715138455
FALCON,16,512,7056501.958032,7.075506,0.000000,2868544,82923414358
FALCON,16,1024,13947408.323766,7.079451,0.000000,2749528,79334236196
FALCON,16,1,61020.852376,30.510753,0.000000,2972345,13110093756
FALCON,16,2,122612.541080,30.660745,0.000000,2964751,13381534734
FALCON,16,4,216184.329198,27.041330,0.000000,2950040,9458521433
FALCON,16,8,481112.180396,30.080774,0.000000,2925610,11632824264
FALCON,16,16,517005.312240,16.163430,0.000000,2938380,13613119978
FALCON,16,32,555724.278172,8.687155,0.000000,2951380,13887813455
FALCON,16,64,812103.769328,6.354796,0.000000,2948475,28675651115
FALCON,16,128,1442095.280574,5.660353,0.000000,2951476,66042487758
FALCON,16,256,3456531.307516,6.794398,0.000000,2919959,83276139728
FALCON,16,512,7064146.124514,7.083007,0.000000,2870925,82148726983
FALCON,16,1024,14386308.078254,7.301727,0.000000,2768450,84929197890
FALCON,16,1,66732.827766,33.366779,0.000000,2972501,16223869846
FALCON,16,2,121699.645798,30.429411,0.000000,2965054,13390544161
FALCON,16,4,198584.662546,24.831933,0.000000,2951362,7749839846
FALCON,16,8,388649.315700,24.296833,0.000000,2924851,6667162468
FALCON,16,16,506646.604698,15.838466,0.000000,2939344,12918248644
FALCON,16,32,598208.929160,9.357094,0.000000,2942654,17838346705
FALCON,16,64,940076.231242,7.358413,0.000000,2948026,36757347399
FALCON,16,128,1483488.680450,5.817806,0.000000,2949391,68256982409
FALCON,16,256,2918538.323434,5.728111,0.000000,2922847,64607641203
FALCON,16,512,6340118.448326,6.323599,0.000000,2871493,70805478178
FALCON,16,1024,11828365.849668,6.163304,0.000000,2789334,64016714081
