baseline,threads,latency_ns,wall_time_s,avg_IOs,data_IO_time
FALCON-RMI,1,29729.260180,14.864994,497690,10585760931
FALCON-RMI,2,65876.525214,16.469459,495304,12478195668
FALCON-RMI,4,125038.375814,15.630885,490653,10205755178
FALCON-RMI,8,252398.184892,15.776353,481520,9761571982
FALCON-RMI,16,287235.399308,8.979218,486058,11377365448
FALCON-RMI,32,430659.474036,6.737945,487274,19746555588
FALCON-RMI,64,890382.567944,6.971053,488168,48017772307
FALCON-RMI,128,1722770.573562,6.768100,489649,97046426757
FALCON-RMI,256,3358077.598834,6.597193,478585,92357598952
FALCON-RMI,512,6629999.987488,6.550978,452384,90246527734
FALCON-RMI,1024,13014707.220552,6.455249,406119,86076127599
FALCON-RMI,1,35750.527544,17.879616,497777,13565205334
FALCON-RMI,2,57468.085566,14.367355,495304,10150498281
FALCON-RMI,4,128744.213786,16.129714,490653,11045596725
FALCON-RMI,8,247618.529000,15.508378,481544,9679401730
FALCON-RMI,16,286788.535354,8.967517,486147,11085989688
FALCON-RMI,32,405929.202532,6.359032,487276,17998859193
FALCON-RMI,64,848931.607496,6.647296,488286,45361867655
FALCON-RMI,128,1728626.172336,6.784096,490095,96854537486
FALCON-RMI,256,3392773.759042,6.675627,478958,92147295633
FALCON-RMI,512,6549752.777988,6.471373,457573,87838467748
FALCON-RMI,1024,12376574.381162,6.191649,412922,85444930396
FALCON-RMI,1,37749.903844,18.878716,497821,14975432123
FALCON-RMI,2,53148.052674,13.287321,495304,9346958697
FALCON-RMI,4,130994.302946,16.375444,490653,11018277395
FALCON-RMI,8,255269.231334,15.962589,481558,9932809656
FALCON-RMI,16,283883.680968,8.905470,485927,11027849734
FALCON-RMI,32,404647.492642,6.329143,487149,18410976370
FALCON-RMI,64,851659.289380,6.667807,487712,45693881563
FALCON-RMI,128,1709680.729632,6.701560,489749,95352000748
FALCON-RMI,256,3367048.044318,6.599039,477475,91695542098
FALCON-RMI,512,6651015.309280,6.613780,454997,93080950696
FALCON-RMI,1024,12727009.345282,6.337483,415439,88759186737
