batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,351804.335998,328798.000000,626076.000000,1334271.000000,6.486986,328770,38249391578,0.626588
2,1337592.231539,542938.000000,6041520.000000,9854113.000000,13.426834,329303,83722685631,0.596105
4,2243692.956329,1068143.000000,7656786.000000,10544888.000000,10.177471,329320,68820478159,0.540698
8,1296101.262225,1141364.000000,2580981.000000,3736704.000000,2.892746,329861,17903962803,0.446158
16,1760161.036820,1664698.000000,2958950.000000,4452119.000000,1.927031,329593,11545438225,0.353659
32,3515392.382042,2735687.000000,8913190.000000,12189033.000000,1.904992,329376,11654560894,0.284194
64,10877344.115767,10692430.000000,15586718.000000,18322189.000000,2.777084,329232,18897107234,0.209612
128,13970230.830661,13715594.000000,19321103.000000,21972347.000000,1.803428,328270,11825557423,0.168254
256,22926870.327210,22792242.000000,30167153.000000,37021672.000000,1.508015,326909,9616667835,0.140005
512,41973753.033456,39747783.000000,66398632.000000,100604121.000000,1.498728,324799,9278218333,0.124066
1024,70812916.380454,70978329.000000,111047751.000000,119165295.000000,1.461551,323408,7905425261,0.104374
2048,125222953.859866,126928354.000000,196997862.000000,203451581.000000,1.347281,317314,7245991434,0.089330
4096,219571925.263290,224060148.000000,331283438.000000,338221469.000000,1.313674,306279,6605018801,0.085871
1,360786.267738,332126.000000,633738.000000,1680454.000000,6.543641,328807,38608461324,0.626793
2,1142104.565630,538647.000000,5536563.000000,9033662.000000,11.630341,329650,72238527126,0.594954
4,2656451.385810,1330110.000000,8855931.000000,11149345.000000,12.113058,329584,81597433793,0.540820
8,1203102.165720,1127571.000000,1946112.000000,3729114.000000,2.788706,329739,16851627936,0.448382
16,1852820.599489,1685496.000000,3247714.000000,4613125.000000,2.021593,329676,12133893860,0.351747
32,2762493.139905,2607887.000000,4655071.000000,5944914.000000,1.485021,329376,8546699234,0.283156
64,10601854.857500,10507612.000000,15064881.000000,16351746.000000,2.748221,329135,18541017201,0.208618
128,13980569.670649,13777494.000000,19129118.000000,22538083.000000,1.805699,328297,11779437980,0.168506
256,23799018.571476,23072113.000000,33255390.000000,40349758.000000,1.592731,326642,9799827755,0.143620
512,41016517.827092,41025748.000000,60882010.000000,73852169.000000,1.512375,324934,9164230235,0.128595
1024,66225782.374849,65353126.000000,95818419.000000,113395837.000000,1.370483,323270,7958749693,0.101439
2048,135164242.308463,122903317.000000,287984077.000000,303470507.000000,1.533982,318141,7828728965,0.093424
4096,234657162.189486,235052820.000000,354378011.000000,464072531.000000,1.423022,300955,6876060547,0.079586
1,352624.796178,331232.000000,631015.000000,1273316.000000,6.501135,328748,37828770321,0.626867
2,1366762.840218,542858.000000,6086648.000000,9892847.000000,13.553180,329644,85675351981,0.595343
4,2237134.221938,1076181.000000,7700127.000000,10525491.000000,10.116485,329587,68341272332,0.540205
8,1309945.280692,1158333.000000,2578547.000000,3558159.000000,2.884464,329772,18029856476,0.449134
16,1793112.676980,1666951.000000,3116414.000000,4680597.000000,1.975094,329599,11572851030,0.352891
32,3919688.750259,2949662.000000,9622636.000000,12431881.000000,2.127815,329522,13170127457,0.283336
64,10963445.705570,10948876.000000,15110288.000000,16598388.000000,2.805303,329015,18965344111,0.210456
128,15452272.807737,15190727.000000,21667809.000000,26181679.000000,1.985367,328193,12911661861,0.171244
256,23173530.731273,23051690.000000,31210340.000000,40791739.000000,1.515591,326997,9552303523,0.141127
512,39610101.681863,39767940.000000,53316137.000000,67910211.000000,1.396100,325096,8764272126,0.122591
1024,70883048.927180,67338873.000000,104543961.000000,131537708.000000,1.315211,322408,7721776783,0.097010
2048,126905410.154279,126019010.000000,223765373.000000,227697556.000000,1.371953,315417,7530122966,0.091541
4096,217631935.055811,240707572.000000,329998574.000000,333162225.000000,1.358281,302599,7001318894,0.075254
1,353849.679699,326403.000000,627137.000000,1483211.000000,6.458008,328841,37860020427,0.626754
2,1316154.000961,545422.000000,6043095.000000,9865422.000000,13.142590,329596,82386241199,0.595206
4,2290374.138186,1085308.000000,7822882.000000,10590844.000000,10.387856,329692,69813524942,0.540534
8,1257675.723899,1126751.000000,2471438.000000,3837667.000000,2.911189,329803,17948058718,0.447694
16,1772267.584894,1669191.000000,3080849.000000,4577538.000000,1.953527,329750,11507803773,0.355045
32,3116963.741728,2700662.000000,6458524.000000,10122583.000000,1.703669,329379,10254916784,0.281489
64,10748351.241222,10684204.000000,14790204.000000,16614283.000000,2.768179,329204,18767554458,0.207675
128,14520431.060769,14468749.000000,20819312.000000,23745149.000000,1.876617,328153,12182306573,0.169872
256,24217002.202138,23883845.000000,31806416.000000,39925022.000000,1.597232,326690,9963992220,0.145171
512,37975204.505160,37670227.000000,53815778.000000,66929619.000000,1.435541,324729,8712702439,0.126288
1024,65817456.953999,66908397.000000,102523003.000000,108434168.000000,1.353918,323197,7938733565,0.105587
2048,111630029.582177,115594435.000000,177718516.000000,194139656.000000,1.380198,318146,7253479372,0.087887
4096,196487496.738851,175200397.000000,305538019.000000,416971793.000000,1.316578,302154,6767625812,0.090790
