epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
8,7209.453428,7.209830,368718,5.939403,1.270427,0.823792,0.176208,0.636479
10,22420.463833,22.420707,342358,20.975759,1.444948,0.935553,0.064447,0.663447
12,6644.797552,6.645113,334790,5.339109,1.306004,0.803464,0.196536,0.672001
14,7315.504594,7.315637,330953,5.775919,1.539718,0.789531,0.210469,0.676748
16,22740.817036,22.741067,328879,20.978786,1.762281,0.922507,0.077493,0.679728
18,7065.830849,7.066090,327938,5.500393,1.565696,0.778421,0.221579,0.681663
20,7154.071491,7.154400,327679,5.675544,1.478856,0.793294,0.206706,0.682878
24,22705.861869,22.706190,328633,20.895368,1.810822,0.920250,0.079750,0.683914
32,6588.355488,6.588571,333092,5.305895,1.282676,0.805318,0.194682,0.683453
48,7030.461502,7.030706,346526,5.688562,1.342144,0.809103,0.190897,0.695404
64,22657.586105,22.657828,362166,20.834287,1.823541,0.919518,0.080482,0.701899
8,7689.601457,7.689740,368635,6.128436,1.561304,0.796963,0.203037,0.636560
10,12402.754739,12.403003,342377,10.832033,1.570970,0.873340,0.126660,0.663428
12,17024.607725,17.024732,334761,15.545244,1.479488,0.913098,0.086902,0.672029
14,7114.338440,7.114540,330948,5.707453,1.407087,0.802224,0.197776,0.676753
16,17670.579760,17.670824,328888,16.020393,1.650431,0.906601,0.093399,0.679719
18,11773.260680,11.773512,327909,10.202498,1.571014,0.866564,0.133436,0.681692
20,7340.095588,7.340320,327664,5.635220,1.705100,0.767708,0.232292,0.682893
24,22669.212171,22.669449,328641,20.721417,1.948032,0.914068,0.085932,0.683906
32,6794.409101,6.794643,333088,5.341348,1.453295,0.786112,0.213888,0.683457
48,7331.129859,7.331455,346525,5.781738,1.549717,0.788621,0.211379,0.695404
64,22565.693428,22.565930,362136,20.869793,1.696137,0.924836,0.075164,0.701924
8,7048.017043,7.048247,368570,5.978294,1.069953,0.848196,0.151804,0.636624
10,6920.540591,6.920923,342369,5.504394,1.416529,0.795327,0.204673,0.663436
12,22725.079157,22.725331,334741,20.956168,1.769163,0.922150,0.077850,0.672049
14,7513.252272,7.513438,330926,5.762277,1.751161,0.766930,0.233070,0.676775
16,14727.664878,14.728029,328895,13.203218,1.524811,0.896469,0.103531,0.679712
18,15390.621123,15.390840,327933,12.966748,2.424092,0.842498,0.157502,0.681668
20,7278.696337,7.278907,327690,5.687980,1.590928,0.781433,0.218567,0.682868
24,20387.490406,20.387767,328623,18.623504,1.764262,0.913465,0.086535,0.683924
32,9394.809757,9.395138,333106,7.575909,1.819228,0.806365,0.193635,0.683440
48,7348.250585,7.348619,346539,5.779463,1.569156,0.786469,0.213531,0.695392
64,22722.034141,22.722257,362164,20.730849,1.991408,0.912359,0.087641,0.701901
8,7336.249038,7.336455,368656,5.838317,1.498138,0.795795,0.204205,0.636540
10,7542.009716,7.542376,342374,5.917473,1.624903,0.784564,0.215436,0.663431
12,22332.172370,22.332528,334743,20.814699,1.517829,0.932035,0.067965,0.672047
14,7298.868349,7.299090,330940,5.678463,1.620627,0.777969,0.222031,0.676761
16,6781.777903,6.782104,328913,5.365390,1.416713,0.791110,0.208890,0.679695
18,22475.434085,22.475786,327919,20.860836,1.614950,0.928147,0.071853,0.681682
20,7001.881001,7.002260,327683,5.608970,1.393290,0.801023,0.198977,0.682874
24,7540.597932,7.540859,328661,6.132257,1.408602,0.813204,0.186796,0.683887
32,21402.065835,21.402421,333094,19.831922,1.570499,0.926621,0.073379,0.683451
48,7022.429236,7.022812,346517,5.622361,1.400451,0.800585,0.199415,0.695411
64,10478.016999,10.478364,362144,8.990042,1.488322,0.857962,0.142038,0.701918
