epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
2,1,69134.711628,69.134712,0.289377,4608366,26558886531
4,1,66206.920250,66.206920,0.538982,2992021,23689994030
8,1,55599.357538,55.599358,0.663552,2187895,14299379327
12,1,62035.210684,62.035211,0.704960,1919746,20670591935
16,1,62126.464712,62.126465,0.725466,1788391,20388920366
20,1,53780.158600,53.780159,0.737899,1710198,12934312229
24,1,61789.156995,61.789157,0.746248,1656882,20003868022
32,1,67704.855196,67.704855,0.756388,1594513,21678862059
48,1,53458.416172,53.458416,0.766974,1532345,12291012786
64,1,61014.170111,61.014170,0.772232,1504491,19418985041
128,1,58174.585630,58.174586,0.780124,1477487,16601832432
2,1,69504.539597,69.504540,0.289384,4607646,26471590712
4,1,61373.683163,61.373683,0.539005,2992800,19272229033
8,1,63334.319280,63.334319,0.663578,2186976,21535740710
12,1,63247.972706,63.247973,0.704949,1920049,21095589466
16,1,54316.806160,54.316806,0.725497,1788937,13188753052
20,1,69835.377694,69.835378,0.737933,1709447,27616857018
24,1,53467.424907,53.467425,0.746240,1657595,12589838821
32,1,53070.366255,53.070366,0.756387,1594845,12452843663
48,1,127887.531010,127.887531,0.766955,1531746,83471810608
64,1,60600.926920,60.600927,0.772190,1504442,19277756493
128,1,53003.727091,53.003727,0.780145,1477697,12186712451
2,1,75784.559912,75.784560,0.289442,4608832,28148110374
4,1,66099.528745,66.099529,0.539019,2992379,23828755254
8,1,63684.705097,63.684705,0.663537,2187036,21721549210
12,1,55057.773247,55.057773,0.704957,1920946,13636632757
16,1,69906.107751,69.906108,0.725547,1787637,27341722222
20,1,54213.868432,54.213868,0.737898,1710261,12979717655
24,1,53628.913414,53.628913,0.746202,1657837,12746365887
32,1,115898.447393,115.898447,0.756362,1593659,71116026651
48,1,52987.853129,52.987853,0.766917,1532857,12292194039
64,1,53004.447184,53.004447,0.772234,1504739,12173904492
128,1,60959.271282,60.959271,0.780173,1477051,19414230341
2,1,69178.360334,69.178360,0.289485,4607265,26695019280
4,1,65798.541035,65.798541,0.539058,2992092,23591740825
8,1,63275.507602,63.275508,0.663535,2187102,21576856781
12,1,62417.299822,62.417300,0.704925,1920427,20587855546
16,1,54119.869438,54.119869,0.725491,1789148,13216889335
20,1,53750.219456,53.750219,0.737905,1710222,12894906323
24,1,68452.934627,68.452935,0.746269,1656266,26922335408
32,1,52958.592952,52.958593,0.756413,1594775,12428841051
48,1,53100.353397,53.100353,0.766976,1532516,12272856553
64,1,68454.843297,68.454843,0.772233,1503652,26495065283
128,1,53312.291218,53.312291,0.780163,1477714,12211511820
2,1,69503.281091,69.503281,0.289471,4607479,26768811215
4,1,65612.806475,65.612806,0.539002,2992542,23696049188
8,1,63565.014112,63.565014,0.663539,2186853,21461672935
12,1,54701.370692,54.701371,0.704915,1920873,13550396364
16,1,61446.771554,61.446772,0.725511,1788601,20150079735
20,1,61158.170835,61.158171,0.737866,1709637,19915521937
24,1,53516.726070,53.516726,0.746230,1657762,12682425497
32,1,53054.046537,53.054047,0.756408,1594735,12392953269
48,1,69431.004420,69.431004,0.766955,1531798,26800741427
64,1,53222.890518,53.222891,0.772185,1504988,12312334280
128,1,54765.471139,54.765471,0.780148,1477684,13618894211
