threads,avg_latency_ns,total_wall_time_s,avg_iops,mem_time_s,io_time_s
1,943.50,0.966863,1034272.49,0.966413,0.000061
1,937.65,0.960963,1040623.28,0.960563,0.000137
1,935.89,0.959152,1042588.15,0.958808,0.000061
1,955.52,0.978419,1022057.25,0.978125,0.000111
1,958.81,0.981983,1018347.76,0.981611,0.000100
1,955.91,0.979402,1021031.04,0.979057,0.000005
1,935.63,0.958530,1043264.23,0.958219,0.000028
1,960.04,0.983053,1017239.60,0.982538,0.000226
1,956.41,0.979234,1021206.44,0.978871,0.000065
1,961.74,0.984786,1015449.44,0.984342,0.000164
